Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;TFC;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;TUC;RStationID
49.85308899999984,5.453740999999809;"{""coordinates"": [5.453740999999809, 49.85308899999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:3e3fb015-c12e-4bc0-be94-8bde701c8c;2015-10-26;AQ125;BE;15;Neufchâteau;N_A;Neufchateau;N_A;FRE;N_A;45;N.BE.RAILRDC.000198
49.53467899999984,15.347415499999782;"{""coordinates"": [15.347415499999782, 49.53467899999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:8c1d180a-5520-4151-b792-e364dad06e;2015-10-26;AQ125;CZ;15;Humpolec;N_A;Humpolec;N_A;CZE;N_A;45;N.CZ.RAILRDC.000225
47.094379499999825,2.394089999999807;"{""coordinates"": [2.394089999999807, 47.094379499999825], ""type"": ""Point""}";1;_EG.EGM.RailrdC:3cf8f006-3733-4f29-98c3-721e1e3989;2015-10-26;AQ125;FR;15;Bourges;N_A;Bourges;N_A;FRE;N_A;45;N.FR.RAILRDC.000582
51.160311999999834,12.937865999999786;"{""coordinates"": [12.937865999999786, 51.160311999999834], ""type"": ""Point""}";1;_EG.EGM.RailrdC:ce5e79cc-e043-4d7b-83f8-42ee74ee3c;2015-10-26;AQ125;DE;15;Leisnig;N_A;Leisnig;N_A;GER;N_A;45;N.DE.RAILRDC.000082
46.896175499999856,19.694436499999767;"{""coordinates"": [19.694436499999767, 46.896175499999856], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e7a93e32-23fa-4387-beea-67e36c1650;2015-10-26;AQ125;HU;32;Kecskemét alsó;N_A;Kecskemet also;N_A;HUN;N_A;26;N.HU.RAILRDC.000832
46.412840999999844,20.337872999999774;"{""coordinates"": [20.337872999999774, 46.412840999999844], ""type"": ""Point""}";1;_EG.EGM.RailrdC:01963a85-69f6-4e21-beea-204402b0c1;2015-10-26;AQ125;HU;32;Hódmezővásárhely;N_A;Hodmezovasarhely;N_A;HUN;N_A;26;N.HU.RAILRDC.000075
50.576065999999855,7.231099999999798;"{""coordinates"": [7.231099999999798, 50.576065999999855], ""type"": ""Point""}";1;_EG.EGM.RailrdC:070eca4e-3ceb-4349-ad01-30234d56e0;2015-10-26;AQ125;DE;15;Remagen;N_A;Remagen;N_A;GER;N_A;45;N.DE.RAILRDC.001510
50.634540999999835,6.043669999999793;"{""coordinates"": [6.043669999999793, 50.634540999999835], ""type"": ""Point""}";1;_EG.EGM.RailrdC:d01d68bc-4e63-4f74-9670-37e1baad66;2015-10-26;AQ125;BE;15;Eupen;N_A;Eupen;N_A;FRE;N_A;45;N.BE.RAILRDC.000137
49.66021399999985,5.906508999999801;"{""coordinates"": [5.906508999999801, 49.66021399999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:7e9b46bf-9e29-49be-8283-7604baf2e5;2015-10-26;AQ125;LU;0;Steinfort;N_A;Steinfort;N_A;FRE;N_A;0;N.LU.RAILRDC.000044
48.99241849999984,1.913022499999812;"{""coordinates"": [1.913022499999812, 48.99241849999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:b749514b-b6fe-47d6-85df-d9e4bc2047;2015-10-26;AQ125;FR;15;Les Mureaux;N_A;Les Mureaux;N_A;FRE;N_A;45;N.FR.RAILRDC.000337
47.68586499999983,13.097888999999782;"{""coordinates"": [13.097888999999782, 47.68586499999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:b2f3864d-a84c-4703-8a14-675ea01c85;2015-10-26;AQ125;AT;15;Hallein;N_A;Hallein;N_A;GER;N_A;45;N.AT.RAILRDC.000150
